cluster,cellType
0,LVEC
1,Myeloid1
2,TAMs
3,KCs
4,Tumor1
5,LSEC
6,Cholaniocytes
7,Tumor2
8,Myeloid2
9,CAFs
10,Hepatocyte
11,T cells
12,Pericytes
13,B cells
14,HSC
